team,sacks,interceptions,fumble_recoveries,forced_fumbles,safeties,blocked_kicks,def_tds,st_tds,st_ff,st_fr,points_allowed_per_game,custom_adjusted_ppg,pressure_rate_proxy
ARI,41,9,7,16,2,0,0,0,0,0,22.294,6.176,0.0708
ATL,31,12,5,12,1,1,3,0,0,0,24.882,5.647,0.051
BAL,54,12,8,12,0,1,2,0,0,3,21.235,7.765,0.0789
BUF,39,16,16,18,1,0,3,0,1,2,21.647,8.765,0.0634
CAR,32,9,8,8,0,0,0,0,0,1,31.412,2.647,0.0568
CHI,40,11,13,15,0,2,1,1,1,0,21.765,7.588,0.0733
CIN,36,15,8,12,1,1,2,0,0,0,25.529,6.118,0.0593
CLE,41,4,8,12,1,1,1,0,1,1,25.588,4.706,0.0748
DAL,52,13,9,18,0,0,1,1,2,1,27.529,6.706,0.0922
DEN,63,15,8,12,2,0,5,0,0,0,18.294,11.118,0.094
DET,37,16,8,12,0,0,1,1,1,0,20.118,7.824,0.057
GB,45,17,15,16,0,1,1,0,1,1,19.882,9.353,0.0738
HOU,49,19,7,10,1,0,3,0,0,0,21.882,8.529,0.081
IND,36,16,9,18,0,1,1,0,1,0,25.118,6.294,0.062
JAC,34,6,0,0,0,1,0,0,0,0,25.588,3.0,0.055
KC,39,13,7,13,0,1,1,0,1,1,19.176,6.941,0.0644
LAC,46,15,8,8,0,1,1,0,0,2,17.706,7.941,0.075
LAR,38,13,0,0,1,1,0,0,0,0,22.706,4.353,0.0653
LV,38,10,4,6,0,0,1,0,0,1,25.529,4.235,0.0639
MIA,35,10,6,8,0,0,0,0,1,0,21.412,5.118,0.058
MIN,49,24,9,11,0,2,3,0,1,2,19.529,10.059,0.0712
NE,28,7,5,12,0,1,1,0,3,3,24.529,4.118,0.0497
NO,39,14,3,12,1,3,0,1,0,0,23.412,6.235,0.0617
NYG,45,5,11,15,0,2,0,0,0,1,24.412,5.471,0.082
NYJ,43,7,10,14,0,1,0,0,1,2,23.765,5.706,0.0758
PHI,41,13,12,20,0,0,1,0,2,0,17.824,8.647,0.0698
PIT,40,17,13,18,0,3,1,1,0,0,20.412,9.118,0.0637
SEA,45,13,5,14,1,2,4,0,0,0,21.647,8.235,0.0732
SF,37,11,7,12,0,1,1,0,1,2,25.647,5.176,0.0668
TB,46,7,10,16,1,2,1,0,1,1,22.647,6.529,0.0684
TEN,32,11,8,10,2,0,0,0,0,3,27.059,4.353,0.0634
WAS,43,7,13,16,0,1,1,0,4,5,23.0,6.294,0.0788
