team,guide_adp,pr_roe_rank,adj_ppg_25_rank,bottom10_offense,trend
HOU,1,6,1,0,flat
LAR,2,14,4,0,up
DEN,3,2,3,0,flat
SEA,4,8,2,0,flat
NE,5,16,14,0,flat
PHI,6,4,7,0,up
PIT,7,20,9,0,flat
MIN,8,1,5,0,down
JAX,9,21,6,0,down
BAL,10,25,22,0,up
DET,11,17,19,0,flat
LAC,12,5,10,0,down
GB,13,11,23,0,flat
DAL,14,7,31,0,up
KC,15,9,17,0,flat
SF,16,32,25,0,flat
BUF,17,18,16,0,down
ATL,18,12,8,1,up
NYG,19,19,29,1,up
CHI,20,30,12,0,flat
CLE,21,3,11,1,down
IND,22,27,15,0,up
TB,23,10,21,0,flat
NO,24,24,13,1,flat
WAS,25,13,30,0,up
CAR,26,31,18,1,up
TEN,27,15,26,1,up
CIN,28,26,27,0,up
LV,29,22,24,1,up
MIA,30,23,20,1,down
ARI,31,29,28,1,down
NYJ,32,28,32,1,up
