guide_adp,kicker_name,team,ppg_25,fg_acc,off_rank,go_pct_rank,is_50plus_good,is_dome,is_value
1,Brandon Aubrey,DAL,11.0,0.86,3,7,1,1,0
2,Ka'imi Fairbairn,HOU,12.9,0.92,22,32,1,1,0
3,Cameron Dicker,LAC,10.0,0.93,11,31,0,1,0
4,Jason Myers,SEA,11.9,0.85,8,30,1,0,0
5,Cam Little,JAX,9.6,0.88,16,20,1,0,1
6,Eddie Pineiro,SF,10.0,0.97,7,24,0,0,1
7,Tyler Loop,BAL,8.5,0.88,6,31,0,0,0
8,Cairo Santos,CHI,8.8,0.83,10,6,0,0,0
9,Evan McPherson,CIN,8.0,0.89,5,26,0,0,0
10,Andres Borregales,NE,8.8,0.84,13,18,0,0,0
11,Jake Bates,DET,8.9,0.79,4,3,0,1,0
12,Harrison Mevis,LAR,9.1,0.92,1,4,0,1,0
13,Chase McLaughlin,TB,9.2,0.84,18,17,1,0,1
14,Chris Boswell,PIT,8.9,0.84,25,29,1,0,1
15,Harrison Butker,KC,8.8,0.87,12,14,0,0,0
16,Will Reichard,MIN,9.4,0.94,21,16,1,1,1
17,Wil Lutz,DEN,7.9,0.88,15,23,0,0,0
18,Charlie Smyth,NO,10.0,0.75,23,11,0,1,0
19,Jake Elliott,PHI,6.8,0.74,9,19,0,0,0
20,Chad Ryland,ARI,7.6,0.76,29,0,0,1,0
21,Spencer Shrader,IND,11.4,0.93,17,10,1,0,1
22,Ryan Fitzgerald,CAR,6.5,0.83,25,2,0,0,0
23,Joey Slye,TEN,8.4,0.80,28,8,0,0,0
24,Zane Gonzalez,MIA,10.7,0.86,32,0,0,0,0
25,Tyler Bass,BUF,8.6,0.83,2,1,0,0,0
26,Nick Folk,ATL,7.9,0.97,26,25,1,1,1
27,Daniel Carlson,LV,6.1,0.82,27,30,0,1,0
28,Trey Smack,GB,,,14,28,0,0,0
29,Ben Sauls,NYG,10.7,,24,29,0,0,0
30,Jake Moody,WAS,9.0,0.83,19,5,0,0,0
31,Jason Sanders,NYJ,9.8,0.90,30,15,1,0,0
32,Andre Szmyt,CLE,6.6,0.89,31,29,0,0,0
