player_name,pts_lost_to_luck,pct_pts_lost_to_luck
CeeDee Lamb,35.49,17.73
Chris Olave,23.46,8.73
Marvin Harrison,23.40,18.22
Ja'Marr Chase,22.78,7.87
Amon-Ra St. Brown,22.19,7.41
Lamar Jackson,20.96,10.78
Puka Nacua,20.81,5.95
Rhamondre Stevenson,18.32,12.81
Davante Adams,17.50,7.86
Alec Pierce,17.25,11.20
Jaylen Waddle,17.06,8.81
Joe Burrow,16.32,14.39
Tee Higgins,14.70,7.61
Jayden Higgins,14.09,11.74
Jaxson Dart,14.06,6.36
Josh Jacobs,13.28,5.60
Trevor Lawrence,12.70,4.03
Jayden Daniels,12.45,10.91
Zay Flowers,12.16,5.72
Michael Wilson,11.49,5.74
Brian Thomas,11.14,8.49
Jake Ferguson,11.11,5.93
De'Von Achane,10.48,3.24
DeVonta Smith,10.14,5.24
Ladd McConkey,10.00,5.53
D'Andre Swift,-5.06,-2.27
Josh Allen,-5.20,-1.43
Jalen Hurts,-5.25,-1.75
Chase Brown,-5.46,-2.07
Wan'Dale Robinson,-5.71,-2.62
Rico Dowdle,-6.49,-3.05
Bijan Robinson,-6.78,-1.87
Quinshon Judkins,-6.92,-4.08
Matthew Stafford,-7.42,-2.29
Tyler Warren,-9.84,-5.44
Baker Mayfield,-10.64,-4.11
Travis Kelce,-11.50,-6.09
Travis Etienne,-11.75,-4.71
Patrick Mahomes,-12.38,-4.36
Luther Burden,-13.38,-11.11
David Montgomery,-14.70,-9.19
DJ Moore,-16.22,-9.65
Dak Prescott,-16.41,-5.23
Bo Nix,-16.60,-5.64
Jonathan Taylor,-16.84,-4.72
RJ Harvey,-18.28,-9.07
Jahmyr Gibbs,-19.00,-5.47
Caleb Williams,-25.29,-8.41
Christian McCaffrey,-30.92,-7.64
Dallas Goedert,-35.09,-19.02
