team,ol_run_block_rank_2025,ol_trend,ol_cohesion,ol_rank_2026,qb_designed_runs
LAR,1,down,4,4.5,0
BUF,2,down,4,4.5,1
CHI,3,down,4,4.0,0
DEN,4,flat,5,5.0,1
IND,5,flat,4,4.5,0
SF,6,flat,4,4.0,0
JAX,7,flat,5,4.0,1
DAL,8,flat,5,4.0,0
MIN,9,up,4,4.0,1
SEA,10,flat,5,3.5,0
BAL,11,down,2,3.0,1
PIT,12,up,3,3.5,0
NE,13,flat,4,3.0,0
PHI,14,flat,5,4.0,1
DET,15,flat,3,3.5,0
CAR,16,down,3,3.0,0
NYJ,17,flat,4,3.0,0
NYG,18,up,4,3.0,1
CIN,19,flat,5,3.0,0
GB,20,down,3,2.0,0
ATL,21,up,4,4.0,0
KC,22,flat,4,3.0,0
ARI,23,up,2,3.0,0
WAS,24,down,3,2.0,1
TEN,25,flat,3,2.0,0
TB,26,up2,5,4.0,0
CLE,27,up,1,2.0,0
LV,28,up2,3,2.5,0
HOU,29,up,2,3.0,0
NO,30,up,4,3.0,1
MIA,31,up,4,2.5,1
LAC,32,up2,2,3.0,0
