player_name,proj_volume_rank,adj_volume_25_rank,confidence
Christian McCaffrey,1,1,high
Jahmyr Gibbs,2,2,high
Bijan Robinson,3,3,high
Ashton Jeanty,4,11,high
Jonathan Taylor,5,4,high
De'Von Achane,6,7,high
Chase Brown,7,6,high
James Cook,8,14,high
Saquon Barkley,9,13,high
Kenneth Walker,10,8,high
Josh Jacobs,11,9,high
Javonte Williams,12,10,high
Omarion Hampton,13,11,medium
Derrick Henry,14,18,high
Breece Hall,15,24,high
Jeremiyah Love,16,,medium
Cam Skattebo,17,5,medium
Quinshon Judkins,18,17,high
Travis Etienne,19,16,high
Bucky Irving,20,14,low
David Montgomery,21,35,high
Kyren Williams,22,19,medium
Chuba Hubbard,23,27,low
Jaylen Warren,24,20,low
Rico Dowdle,25,23,low
D'Andre Swift,26,22,high
Bhayshul Tuten,27,,medium
Tony Pollard,28,26,medium
Rhamondre Stevenson,29,25,high
Jadarian Price,30,,low
TreVeyon Henderson,31,34,medium
RJ Harvey,32,28,medium
J.K. Dobbins,33,29,medium
Rachaad White,34,21,low
Jordan Mason,35,38,medium
Kenneth Gainwell,36,30,low
Kyle Monangai,37,33,low
Jonathon Brooks,38,,low
Jacory Croskey-Merritt,39,37,low
Blake Corum,40,36,low
