player_name,team,position,pos_rank_label,ecr_rank,adp,rank_min,rank_max,rank_std,bye_week,owned_avg_pct
Ja'Marr Chase,CIN,WR,WR1,1,1.52,1,6,0.98,6,99.6
Jahmyr Gibbs,DET,RB,RB1,2,2.89,1,7,1.58,6,99.5
Puka Nacua,LAR,WR,WR2,3,3.51,1,9,1.66,11,99.7
Bijan Robinson,ATL,RB,RB2,4,3.81,1,7,1.50,11,99.4
Jaxon Smith-Njigba,SEA,WR,WR3,5,4.79,1,11,1.52,11,99.7
Amon-Ra St. Brown,DET,WR,WR4,6,5.46,3,9,1.38,6,99.6
CeeDee Lamb,DAL,WR,WR5,7,8.86,4,18,2.30,14,99.4
Justin Jefferson,MIN,WR,WR6,8,9.15,3,20,2.45,6,99.4
Christian McCaffrey,SF,RB,RB3,9,10.21,5,31,5.02,8,99.5
Drake London,ATL,WR,WR7,10,12.21,8,26,3.08,11,99.1
Jonathan Taylor,IND,RB,RB4,11,12.73,5,33,6.38,13,99.4
A.J. Brown,NE,WR,WR8,12,14.08,6,35,5.19,11,99.3
Ashton Jeanty,LV,RB,RB5,13,16.52,7,34,5.57,13,99.4
Nico Collins,HOU,WR,WR9,14,16.93,11,29,4.01,8,99.3
James Cook III,BUF,RB,RB6,15,17.76,7,34,7.37,7,99.5
Chase Brown,CIN,RB,RB7,16,18.02,7,39,6.08,6,98.7
Brock Bowers,LV,TE,TE1,17,18.08,10,32,3.65,13,99.5
Chris Olave,NO,WR,WR10,18,19.1,11,36,5.94,8,98.0
George Pickens,DAL,WR,WR11,19,20.08,11,40,6.11,14,99.3
Trey McBride,ARI,TE,TE2,20,20.98,16,33,4.40,14,99.4
Rashee Rice,KC,WR,WR12,21,21.99,11,45,8.32,5,98.6
De'Von Achane,MIA,RB,RB8,22,22.16,5,41,7.60,6,99.3
DeVonta Smith,PHI,WR,WR13,23,23.98,11,45,7.37,10,98.1
Malik Nabers,NYG,WR,WR14,24,24.65,9,48,9.91,8,98.4
Saquon Barkley,PHI,RB,RB9,25,25.12,7,41,6.86,10,99.4
Josh Allen,BUF,QB,QB1,26,25.89,21,37,2.74,7,99.7
Omarion Hampton,LAC,RB,RB10,27,26.11,10,43,7.39,7,99.0
Kenneth Walker III,KC,RB,RB11,28,28.39,13,56,8.86,5,99.2
Garrett Wilson,NYJ,WR,WR15,29,29.87,14,45,7.00,13,96.6
Zay Flowers,BAL,WR,WR16,30,29.98,14,48,7.90,13,97.8
Lamar Jackson,BAL,QB,QB2,31,33.42,25,70,10.90,13,99.2
Tetairoa McMillan,CAR,WR,WR17,32,34.0,18,51,6.92,5,97.6
Ladd McConkey,LAC,WR,WR18,33,36.23,15,51,6.98,7,96.1
Jaylen Waddle,DEN,WR,WR19,34,36.44,19,51,6.79,10,95.7
Tee Higgins,CIN,WR,WR20,35,36.46,19,51,6.96,6,96.9
Derrick Henry,BAL,RB,RB12,36,38.04,14,50,8.47,13,99.2
Colston Loveland,CHI,TE,TE3,37,38.31,22,95,13.85,10,99.1
Drake Maye,NE,QB,QB3,38,38.76,26,119,16.58,11,98.7
Emeka Egbuka,TB,WR,WR21,39,39.49,15,64,8.45,10,97.1
Jeremiyah Love,ARI,RB,RB13,40,40.28,26,67,8.02,14,98.4
Breece Hall,NYJ,RB,RB14,41,40.76,29,58,6.26,13,97.4
Kyren Williams,LAR,RB,RB15,42,42.41,23,56,6.61,11,97.8
Josh Jacobs,GB,RB,RB16,43,44.89,29,61,7.08,11,98.3
Javonte Williams,DAL,RB,RB17,44,45.18,31,61,6.33,14,97.2
Terry McLaurin,WAS,WR,WR22,45,46.14,28,64,6.72,7,93.8
Joe Burrow,CIN,QB,QB4,46,46.34,27,101,14.92,6,97.8
Luther Burden III,CHI,WR,WR23,47,47.35,26,69,9.09,10,92.9
Travis Etienne Jr.,NO,RB,RB18,48,49.59,33,72,8.30,8,95.8
Davante Adams,LAR,WR,WR24,49,50.92,36,71,6.88,11,96.1
DJ Moore,BUF,WR,WR25,50,51.99,18,107,12.74,7,93.0
Tyler Warren,IND,TE,TE4,51,54.33,22,85,10.76,13,98.6
Mike Evans,SF,WR,WR26,52,54.48,42,81,9.43,8,90.5
Jayden Daniels,WAS,QB,QB5,53,55.1,27,108,17.61,7,97.7
Jameson Williams,DET,WR,WR27,54,55.22,40,96,9.46,6,93.1
Cam Skattebo,NYG,RB,RB19,55,56.09,39,77,8.99,8,97.1
Rome Odunze,CHI,WR,WR28,56,57.36,40,82,8.90,10,92.1
D'Andre Swift,CHI,RB,RB20,57,57.39,39,80,8.14,10,92.7
Christian Watson,GB,WR,WR29,58,57.79,42,100,10.30,11,88.8
Jalen Hurts,PHI,QB,QB6,59,57.88,30,98,13.01,10,97.2
Bucky Irving,TB,RB,RB21,60,59.16,41,86,9.53,10,95.1
David Montgomery,HOU,RB,RB22,61,61.31,40,86,8.92,8,92.6
Quinshon Judkins,CLE,RB,RB23,62,61.41,41,84,9.70,11,94.0
Parker Washington,JAC,WR,WR30,63,66.42,45,115,16.65,7,85.8
Carnell Tate,TEN,WR,WR31,64,66.5,45,126,16.24,9,91.2
Caleb Williams,CHI,QB,QB7,65,66.86,27,98,13.65,10,93.6
TreVeyon Henderson,NE,RB,RB24,66,67.71,41,89,9.99,11,92.3
Bhayshul Tuten,JAC,RB,RB25,67,69.5,46,102,10.17,7,90.4
Marvin Harrison Jr.,ARI,WR,WR32,68,69.57,45,116,13.11,14,88.4
Justin Herbert,LAC,QB,QB8,69,71.22,37,114,13.05,7,91.1
Harold Fannin Jr.,CLE,TE,TE5,70,74.5,32,112,12.98,11,94.1
Jadarian Price,SEA,RB,RB26,71,74.65,50,118,10.57,11,89.2
Brian Thomas Jr.,JAC,WR,WR33,72,75.97,49,116,13.66,7,86.6
Jaylen Warren,PIT,RB,RB27,73,76.17,58,99,7.74,9,87.6
Tucker Kraft,GB,TE,TE6,74,76.63,32,111,14.02,11,92.6
Trevor Lawrence,JAC,QB,QB9,75,77.83,37,112,14.98,7,88.6
Chris Godwin Jr.,TB,WR,WR34,76,78.47,48,123,14.44,10,78.5
Kyle Pitts Sr.,ATL,TE,TE7,77,79.4,63,97,9.47,11,95.3
DK Metcalf,PIT,WR,WR35,78,79.45,51,116,13.71,9,89.1
Dak Prescott,DAL,QB,QB10,79,79.64,37,113,14.69,14,92.1
Rhamondre Stevenson,NE,RB,RB28,80,79.97,61,117,10.25,11,86.0
Michael Pittman Jr.,PIT,WR,WR36,81,81.65,45,114,13.36,9,82.3
Tony Pollard,TEN,RB,RB29,82,83.01,58,118,10.91,9,85.7
Courtland Sutton,DEN,WR,WR37,83,83.06,49,116,14.35,10,86.7
Sam LaPorta,DET,TE,TE8,84,83.16,57,106,11.25,6,95.6
Wan'Dale Robinson,TEN,WR,WR38,85,85.71,45,123,15.29,9,70.6
Josh Downs,IND,WR,WR39,86,86.2,49,133,14.22,13,77.9
Rico Dowdle,PIT,RB,RB30,87,87.34,61,117,11.96,9,85.5
Michael Wilson,ARI,WR,WR40,88,87.57,51,133,16.51,14,83.4
RJ Harvey,DEN,RB,RB31,89,93.54,43,145,17.27,10,82.3
Brock Purdy,SF,QB,QB11,90,96.21,63,130,11.30,8,85.6
Chuba Hubbard,CAR,RB,RB32,91,96.78,67,141,15.03,5,85.8
Jaxson Dart,NYG,QB,QB12,92,97.77,59,129,14.66,8,92.4
Alec Pierce,IND,WR,WR41,93,98.73,64,170,20.85,13,84.1
Jonathon Brooks,CAR,RB,RB33,94,98.94,65,260,33.81,5,76.4
Travis Kelce,KC,TE,TE9,95,99.14,66,138,14.30,5,89.3
Quentin Johnston,LAC,WR,WR42,96,99.51,68,149,15.19,7,76.4
Patrick Mahomes II,KC,QB,QB13,97,100.35,70,138,12.45,5,87.2
Stefon Diggs,WAS,WR,WR47,108,100.49,51,225,36.21,7,74.2
Kenny Gainwell,TB,RB,RB34,98,100.72,65,135,15.11,10,77.7
Bo Nix,DEN,QB,QB14,99,100.91,70,126,9.43,10,86.5
Jakobi Meyers,JAC,WR,WR43,100,101.16,55,163,17.74,7,73.2
J.K. Dobbins,DEN,RB,RB35,101,102.55,78,143,16.69,10,81.5
George Kittle,SF,TE,TE10,102,102.65,32,229,21.93,8,89.3
Matthew Stafford,LAR,QB,QB15,103,104.43,59,147,13.64,11,90.6
Jayden Reed,GB,WR,WR44,104,106.41,78,132,13.26,11,75.2
Jared Goff,DET,QB,QB16,105,106.7,63,146,12.02,6,74.9
Makai Lemon,PHI,WR,WR45,106,106.79,69,163,17.94,10,79.7
Jordan Addison,MIN,WR,WR46,107,106.84,71,149,14.45,6,78.8
Rachaad White,WAS,RB,RB36,109,108.92,72,157,16.20,7,72.1
Blake Corum,LAR,RB,RB37,110,110.56,80,143,14.42,11,78.3
Kyle Monangai,CHI,RB,RB38,111,111.84,78,156,14.86,10,79.7
Kyler Murray,MIN,QB,QB17,112,112.64,59,139,11.32,6,65.9
Dalton Kincaid,BUF,TE,TE11,113,113.48,85,155,15.73,7,81.2
Jake Ferguson,DAL,TE,TE12,114,113.95,73,173,18.73,14,84.5
Aaron Jones Sr.,MIN,RB,RB39,115,114.02,78,146,16.61,6,74.5
Jacory Croskey-Merritt,WAS,RB,RB40,116,117.36,80,143,12.55,7,73.8
Baker Mayfield,TB,QB,QB18,117,117.88,74,170,10.99,10,58.2
Isaiah Likely,NYG,TE,TE13,118,119.29,85,236,26.25,8,81.1
Jordan Love,GB,QB,QB19,119,119.49,92,169,10.12,11,54.1
Khalil Shakir,BUF,WR,WR48,120,119.57,83,163,15.69,7,59.0
Jordan Mason,MIN,RB,RB41,121,119.77,77,182,16.16,6,67.2
Dallas Goedert,PHI,TE,TE14,122,121.11,97,186,16.96,10,84.4
KC Concepcion,CLE,WR,WR49,123,122.57,79,210,22.39,11,59.9
Tyler Shough,NO,QB,QB20,124,123.68,79,206,15.01,8,45.4
Jordyn Tyson,NO,WR,WR50,125,124.15,91,197,24.98,8,81.7
Jalen Coker,CAR,WR,WR51,126,124.46,90,168,16.94,5,45.3
Xavier Worthy,KC,WR,WR52,127,127.45,91,195,15.94,5,63.7
Matthew Golden,GB,WR,WR53,128,129.46,82,184,20.09,11,69.5
Mark Andrews,BAL,TE,TE15,129,130.23,87,229,23.83,13,80.4
Romeo Doubs,NE,WR,WR54,130,131.36,91,180,17.97,11,57.1
Malik Willis,MIA,QB,QB21,131,133.2,98,242,24.68,6,38.1
Juwan Johnson,NO,TE,TE16,132,136.1,95,190,20.19,8,41.9
Woody Marks,HOU,RB,RB42,133,139.41,89,168,13.78,8,46.5
Chris Rodriguez Jr.,JAC,RB,RB43,134,139.46,116,231,15.50,7,40.1
Tyler Allgeier,ARI,RB,RB44,135,140.02,109,180,13.18,14,40.2
Deebo Samuel Sr.,SF,WR,WR56,143,140.09,82,241,32.23,8,58.8
Tyrone Tracy Jr.,NYG,RB,RB45,136,140.46,103,228,20.40,8,36.9
Tyjae Spears,TEN,RB,RB46,137,140.82,93,201,16.27,9,36.9
Sam Darnold,SEA,QB,QB22,138,142.01,113,249,18.27,11,37.1
C.J. Stroud,HOU,QB,QB23,139,143.3,108,237,19.66,8,31.7
Zach Charbonnet,SEA,RB,RB47,140,147.82,80,248,25.69,11,59.8
Dylan Sampson,CLE,RB,RB48,141,148.52,103,237,17.97,11,19.4
Rashid Shaheed,SEA,WR,WR57,144,149.86,115,223,17.64,11,42.7
De'Zhaun Stribling,SF,WR,WR55,142,151.31,76,289,43.36,8,33.8
Keaton Mitchell,LAC,RB,RB49,147,152.16,104,248,26.18,7,29.7
Denzel Boston,CLE,WR,WR58,145,152.65,107,302,30.65,11,32.3
Houston Texans,HOU,DEF,DST1,157,153.71,143,176,6.08,8,97.5
Daniel Jones,IND,QB,QB24,146,154.53,105,321,34.73,13,33.3
Alvin Kamara,NO,RB,RB50,148,154.91,102,263,28.11,8,44.9
Brenton Strange,JAC,TE,TE17,149,156.95,112,226,24.53,7,42.9
Cam Ward,TEN,QB,QB25,150,157.34,113,270,27.13,9,21.7
Chig Okonkwo,WAS,TE,TE18,151,158.32,106,236,27.79,7,38.4
Jonah Coleman,DEN,RB,RB52,153,159.19,118,321,31.70,10,27.0
Isiah Pacheco,DET,RB,RB51,152,159.88,118,237,22.40,6,40.4
Jauan Jennings,MIN,WR,WR59,158,162.04,94,282,31.06,6,26.3
Denver Broncos,DEN,DEF,DST2,166,163.2,149,210,7.59,10,96.2
Hunter Henry,NE,TE,TE19,154,163.83,112,229,23.76,11,64.3
Jerry Jeudy,CLE,WR,WR60,159,165.21,128,268,26.58,11,27.7
