player_id,player_name,position,team,games,fantasy_points,fantasy_points_ppr,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,completions,attempts,passing_yards,passing_tds,interceptions,snap_pct
00-0023459,Aaron Rodgers,QB,NYJ,17,256.58,256.58,22,107.0,0,0,0,0.0,0,368,584,3897.0,28,11.0,0.9635294117647059
00-0024243,Marcedes Lewis,TE,CHI,1,0.2,1.2,0,0.0,0,1,1,2.0,0,0,0,0.0,0,0.0,0.19176470588235295
00-0026158,Joe Flacco,QB,IND,7,99.04,99.04,9,26.0,0,0,0,0.0,0,162,248,1761.0,12,7.0,0.8525
00-0026300,Josh Johnson,QB,BAL,4,0.78,0.78,4,1.0,0,0,0,0.0,0,2,3,17.0,0,0.0,0.09833333333333333
00-0026498,Matthew Stafford,QB,LA,16,214.58,214.58,30,41.0,0,0,0,0.0,0,340,517,3762.0,20,8.0,1.0
00-0027973,Andy Dalton,QB,CAR,6,58.96,58.96,11,34.0,0,0,0,0.0,0,106,160,989.0,7,6.0,0.81
00-0028118,Tyrod Taylor,QB,NYJ,2,20.06,20.06,3,13.0,0,0,0,0.0,0,17,22,119.0,3,0.0,0.31
00-0029263,Russell Wilson,QB,PIT,11,172.78,172.78,43,155.0,2,0,0,0.0,0,214,336,2482.0,16,5.0,0.9808333333333333
00-0029604,Kirk Cousins,QB,ATL,14,176.32,176.32,23,0.0,0,0,0,0.0,0,303,453,3508.0,18,16.0,0.9771428571428571
00-0029892,Kyle Juszczyk,RB,SF,14,38.6,57.6,5,26.0,1,31,19,200.0,2,0,0,0.0,0,0.0,0.49470588235294116
00-0030035,Adam Thielen,WR,CAR,10,91.5,139.5,0,0.0,0,62,48,615.0,5,0,0,0.0,0,0.0,0.708
00-0030061,Zach Ertz,TE,WAS,17,111.4,177.4,0,0.0,0,91,66,654.0,7,0,0,0.0,0,0.0,0.674
00-0030279,Keenan Allen,WR,CHI,15,114.4,184.4,0,0.0,0,121,70,744.0,7,0,1,0.0,0,1.0,0.868
00-0030431,Robert Woods,WR,HOU,12,18.3,38.3,0,0.0,0,30,20,203.0,0,0,0,0.0,0,0.0,0.3623529411764706
00-0030506,Travis Kelce,TE,KC,16,98.4,195.4,1,1.0,0,133,97,823.0,3,0,0,0.0,0,0.0,0.8505263157894737
00-0030564,DeAndre Hopkins,WR,KC,16,91.0,147.0,0,0.0,0,80,56,610.0,5,0,0,0.0,0,0.0,0.4584210526315789
00-0030565,Geno Smith,QB,SEA,17,266.0,266.0,53,272.0,2,0,0,0.0,0,407,578,4320.0,21,15.0,0.9747058823529412
00-0030578,Cordarrelle Patterson,RB,PIT,13,25.500000000000004,37.5,32,135.0,0,14,12,80.0,1,0,0,0.0,0,0.0,0.11714285714285715
00-0031235,Odell Beckham Jr.,WR,MIA,8,5.5,14.5,0,0.0,0,19,9,55.0,0,0,0,0.0,0,0.0,0.20222222222222222
00-0031236,Brandin Cooks,WR,DAL,10,43.6,69.6,3,-3.0,0,54,26,259.0,3,0,0,0.0,0,0.0,0.6980000000000001
00-0031280,Derek Carr,QB,NO,10,150.9,150.9,17,71.0,1,0,0,0.0,0,189,279,2145.0,15,5.0,0.944
00-0031299,Jordan Matthews,TE,CAR,1,0.0,0.0,0,0.0,0,1,0,0.0,0,0,0,0.0,0,0.0,0.115
00-0031345,Jimmy Garoppolo,QB,LA,1,19.86,19.86,2,5.0,0,0,0,0.0,0,27,41,334.0,2,1.0,1.0
00-0031381,Davante Adams,WR,NYJ,14,156.3,241.29999999999998,0,0.0,0,141,85,1063.0,8,0,0,0.0,0,0.0,0.9178571428571428
00-0031408,Mike Evans,WR,TB,14,166.4,240.4,0,0.0,0,110,74,1004.0,11,0,0,0.0,0,0.0,0.722
00-0031428,Allen Robinson,WR,DET,6,3.0,6.0,0,0.0,0,7,3,30.0,0,0,0,0.0,0,0.0,0.12
00-0031484,Chris Manhertz,TE,NYG,4,9.0,12.0,0,0.0,0,4,3,30.0,1,0,0,0.0,0,0.0,0.30823529411764705
00-0031503,Jameis Winston,QB,CLE,11,131.14,131.14,25,83.0,1,0,0,0.0,0,181,296,2121.0,13,12.0,0.585
00-0031544,Amari Cooper,WR,BUF,13,78.7,122.7,0,0.0,0,85,44,547.0,4,0,0,0.0,0,0.0,0.5947058823529412
00-0031549,Nelson Agholor,WR,BAL,13,35.1,49.1,0,0.0,0,29,14,231.0,2,0,0,0.0,0,0.0,0.444375
00-0031585,MyCole Pruitt,TE,PIT,6,10.0,16.0,0,0.0,0,10,6,40.0,1,0,0,0.0,0,0.0,0.3315384615384615
00-0031588,Stefon Diggs,WR,HOU,8,74.92,121.92,3,8.0,1,64,47,496.0,3,1,1,13.0,0,0.0,0.7837500000000001
00-0031595,Michael Burton,RB,DEN,11,19.3,29.3,7,8.0,1,10,10,65.0,1,0,0,0.0,0,0.0,0.15222222222222223
00-0031687,Raheem Mostert,RB,MIA,12,51.900000000000006,70.9,85,278.0,2,23,19,161.0,0,0,0,0.0,0,0.0,0.31384615384615383
00-0031690,Eric Tomlinson,TE,LAC,4,0.9000000000000001,2.9000000000000004,0,0.0,0,4,2,9.0,0,0,0,0.0,0,0.0,0.23111111111111113
00-0031763,DeAndre Carter,WR,CHI,5,7.2,16.2,0,0.0,0,14,9,72.0,0,0,0,0.0,0,0.0,0.13999999999999999
00-0031800,Taylor Heinicke,QB,LAC,4,3.12,3.12,2,20.0,0,0,0,0.0,0,3,5,28.0,0,0.0,0.0975
00-0031941,Jamison Crowder,WR,WAS,4,19.2,28.2,0,0.0,0,13,9,72.0,2,0,0,0.0,0,0.0,0.28
00-0032104,Ameer Abdullah,RB,LV,13,85.2,125.2,66,311.0,2,47,40,261.0,3,0,0,0.0,0,0.0,0.369375
00-0032128,Chris Conley,WR,SF,7,7.6000000000000005,13.6,0,0.0,0,12,6,76.0,0,0,0,0.0,0,0.0,0.23733333333333334
00-0032141,Geoff Swaim,TE,CLE,1,0.7000000000000001,1.7000000000000002,0,0.0,0,1,1,7.0,0,0,0,0.0,0,0.0,0.2625
00-0032211,Tyler Lockett,WR,SEA,17,72.0,121.0,0,0.0,0,74,49,600.0,2,0,0,0.0,0,0.0,0.6905882352941176
00-0032268,Marcus Mariota,QB,WAS,3,45.760000000000005,45.760000000000005,18,92.0,1,0,0,0.0,0,34,44,364.0,4,0.0,0.26833333333333337
00-0032385,Sterling Shepard,WR,TB,13,48.300000000000004,80.3,8,69.0,0,51,32,334.0,1,0,0,0.0,0,0.0,0.5346666666666666
00-0032392,Austin Hooper,TE,NE,17,63.6,108.60000000000001,0,0.0,0,59,45,476.0,3,0,0,0.0,0,0.0,0.5252941176470588
00-0032394,Nick Vannett,TE,TEN,12,31.5,48.5,0,0.0,0,20,17,135.0,3,0,0,0.0,0,0.0,0.36058823529411765
