Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Matthew Stafford,4707,7.9,597,388,65.0,46,8,109.2,236,39.5,72,8,88,23,150
Jared Goff,4564,7.9,578,393,68.0,34,8,105.5,223,38.6,66,8,64,38,259
Dak Prescott,4552,7.6,600,404,67.3,30,10,99.5,220,36.7,53,12,86,31,208
Drake Maye,4394,8.9,492,354,72.0,31,8,113.5,203,41.3,67,6,72,47,201
Sam Darnold,4048,8.5,477,323,67.7,25,14,99.1,178,37.3,57,12,67,27,186
Trevor Lawrence,4007,7.2,560,341,60.9,29,12,91.0,194,34.6,57,6,63,41,247
Caleb Williams,3942,6.9,568,330,58.1,27,7,90.1,187,32.9,58,7,65,24,165
Bo Nix,3931,6.4,612,388,63.4,25,11,87.8,196,32.0,47,7,52,22,119
Justin Herbert,3727,7.3,512,340,66.4,26,13,94.1,175,34.2,43,8,60,54,301
Baker Mayfield,3693,6.8,543,343,63.2,26,11,90.6,172,31.7,54,7,77,36,234
Josh Allen,3668,8.0,460,319,69.4,25,10,102.2,177,38.5,56,10,54,40,298
Patrick Mahomes,3587,7.2,502,315,62.8,22,11,89.6,173,34.5,49,8,61,34,193
Jordan Love,3381,7.7,439,291,66.3,23,6,101.2,159,36.2,49,8,59,21,169
Jacoby Brissett,3366,6.9,485,315,65.0,23,8,94.1,165,34.0,41,3,50,43,288
Aaron Rodgers,3322,6.7,498,327,65.7,24,7,94.8,143,28.7,38,7,80,29,180
Jalen Hurts,3224,7.1,454,294,64.8,25,6,98.5,150,33.0,40,9,79,32,181
Cam Ward,3169,5.9,540,323,59.8,15,7,80.2,153,28.3,40,3,47,55,410
Daniel Jones,3101,8.1,384,261,68.0,19,8,100.2,149,38.8,36,7,75,22,158
C.J. Stroud,3041,7.2,423,273,64.5,19,8,92.9,136,32.2,39,10,75,23,189
Geno Smith,3025,6.8,448,302,67.4,19,17,84.7,148,33.0,33,3,61,55,405
Bryce Young,3011,6.3,478,304,63.6,23,11,87.8,153,32.0,39,4,54,27,202
Tua Tagovailoa,2660,6.9,384,260,67.7,20,15,88.4,142,37.0,33,4,47,30,195
Lamar Jackson,2549,8.4,302,192,63.6,21,7,103.8,109,36.1,38,6,64,36,239
Joe Flacco,2479,6.0,416,251,60.3,15,10,79.2,115,27.6,25,2,44,18,118
Tyler Shough,2384,7.3,327,221,67.6,10,6,91.3,107,32.7,19,3,62,31,195
Jaxson Dart,2272,6.7,339,216,63.7,15,5,91.7,102,30.1,25,3,44,35,152
Brock Purdy,2167,7.6,284,197,69.4,20,10,100.5,130,45.8,33,1,45,11,53
Mac Jones,2151,7.4,289,201,69.6,13,6,97.4,107,37.0,18,3,56,16,108
Michael Penix Jr.,1982,7.2,276,166,60.1,9,3,88.5,99,35.9,26,5,69,13,101
Joe Burrow,1809,7.0,259,173,66.8,17,5,100.7,100,38.6,22,1,43,17,113
Kirk Cousins,1721,6.4,269,166,61.7,10,5,84.8,86,32.0,21,3,49,13,79
Marcus Mariota,1695,7.5,227,139,61.2,10,7,86.1,79,34.8,22,5,56,16,107
J.J. McCarthy,1632,6.7,243,140,57.6,11,12,72.6,80,32.9,20,3,62,27,149
Spencer Rattler,1586,6.2,257,174,67.7,8,5,86.5,74,28.8,13,3,87,18,104
Shedeur Sanders,1400,6.6,212,120,56.6,7,10,68.1,54,25.5,17,7,66,23,164
Jayden Daniels,1262,6.7,188,114,60.6,8,3,88.1,59,31.4,14,2,50,18,79
Justin Fields,1259,6.2,204,128,62.8,7,1,89.5,58,28.4,15,1,42,27,192
Carson Wentz,1216,7.2,169,110,65.1,6,5,85.8,58,34.3,15,2,81,19,125
Kyler Murray,962,6.0,161,110,68.3,6,3,88.6,50,31.1,7,2,45,16,111
Dillon Gabriel,937,5.1,185,110,59.5,7,2,80.8,45,24.3,10,0,26,19,127
Davis Mills,915,5.8,159,91,57.2,5,1,81.6,48,30.2,9,1,54,8,60
Russell Wilson,831,7.0,119,69,58.0,3,3,77.4,32,26.9,13,4,52,10,66
Tyrod Taylor,779,5.8,134,80,59.7,5,5,73.0,41,30.6,6,2,52,14,82
Jake Browning,771,6.2,125,81,64.8,6,8,71.1,33,26.4,8,2,64,9,60
Brady Cook,739,4.8,153,88,57.5,2,7,55.4,35,22.9,6,0,26,19,125
Quinn Ewers,622,7.5,83,55,66.3,3,3,85.5,29,34.9,10,2,63,8,59
Jameis Winston,567,8.6,66,37,56.1,2,2,82.1,25,37.9,13,2,42,3,11
Philip Rivers,544,5.9,92,58,63.0,4,3,80.2,30,32.6,2,0,33,5,37
Tyler Huntley,426,6.4,67,52,77.6,2,0,103.1,19,28.4,3,0,36,8,38
Malik Willis,422,12.1,35,30,85.7,3,0,145.5,19,54.3,9,1,40,3,15
