Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,YAC/R,Tgts
Puka Nacua,129,1715,10,27,3,58,80,62,1,666,166
Trey McBride,126,1239,11,12,0,31,63,50,0,583,169
Ja'Marr Chase,125,1412,8,15,2,64,73,58.4,1,640,185
Jaxon Smith-Njigba,119,1793,10,27,8,63,79,66.4,3,528,163
Amon-Ra St. Brown,117,1401,11,19,1,52,71,60.7,1,570,172
Christian McCaffrey,102,924,7,7,0,39,49,48,1,720,129
Chris Olave,100,1163,9,11,4,62,53,53,0,289,156
George Pickens,93,1429,9,22,4,45,73,78.5,4,479,137
Wan'Dale Robinson,92,1014,4,14,2,50,39,42.4,1,386,140
Kyle Pitts,88,928,5,12,0,36,51,58,0,400,118
Zay Flowers,86,1211,5,19,4,64,48,55.8,3,458,118
Stefon Diggs,85,1013,4,17,0,34,51,60,0,354,102
Justin Jefferson,84,1048,2,12,2,50,47,56,0,451,141
Jake Ferguson,82,600,8,2,0,26,30,36.6,3,307,102
Dalton Schultz,82,777,3,5,1,47,39,47.6,1,358,106
Keenan Allen,81,777,4,6,0,31,49,60.5,2,231,122
Michael Pittman,80,784,7,5,0,27,47,58.8,0,259,111
Bijan Robinson,79,820,4,10,4,69,34,43,1,857,103
A.J. Brown,78,1003,7,14,1,45,47,60.3,0,268,121
Michael Wilson,78,1006,7,14,2,50,51,65.4,0,273,126
Jahmyr Gibbs,77,616,5,7,1,42,28,36.4,0,615,94
Juwan Johnson,77,889,3,11,1,52,41,53.2,2,362,102
DeVonta Smith,77,1008,4,14,4,79,44,57.1,0,293,113
Travis Kelce,76,851,5,9,1,44,45,59.2,1,424,108
Tyler Warren,76,817,4,10,1,41,42,55.3,0,474,112
CeeDee Lamb,75,1077,3,16,3,74,43,57.3,0,323,117
Jakobi Meyers,75,835,3,10,2,50,43,57.3,1,282,110
Courtland Sutton,74,1017,7,17,2,52,52,70.3,0,222,124
Kenny Gainwell,73,486,3,3,1,45,23,31.5,1,528,85
Harold Fannin Jr.,72,731,6,8,0,35,32,44.4,0,352,107
Deebo Samuel Sr.,72,727,5,10,1,41,32,44.4,1,466,99
Khalil Shakir,72,719,4,8,3,54,29,40.3,1,541,95
Nico Collins,71,1117,6,18,5,57,48,67.6,1,324,120
Tetairoa McMillan,70,1014,7,17,3,43,55,78.6,1,269,122
Chase Brown,69,437,5,2,0,23,18,26.1,1,450,88
Drake London,68,919,7,13,3,43,46,67.6,1,229,112
De'Von Achane,67,488,4,4,0,29,23,34.3,0,552,85
Ladd McConkey,66,789,6,8,2,58,35,53,0,310,106
Troy Franklin,65,709,6,9,2,48,32,49.2,1,282,104
Jameson Williams,65,1117,7,23,5,64,49,75.4,0,441,102
Brock Bowers,64,680,7,8,0,38,36,56.2,0,305,86
Jaylen Waddle,64,910,6,14,3,46,48,75,1,228,100
Emeka Egbuka,63,938,6,20,3,77,34,54,0,335,127
Davante Adams,60,789,14,14,1,44,51,85,0,117,114
Dallas Goedert,60,591,11,7,0,36,34,56.7,0,234,82
Hunter Henry,60,768,7,11,0,36,42,70,0,335,87
Tee Higgins,59,846,11,14,3,44,41,69.5,0,166,98
DK Metcalf,59,850,6,15,3,80,37,62.7,0,414,99
Cade Otton,59,572,1,7,0,27,25,42.4,0,309,81
Rashid Shaheed,59,687,2,6,1,87,29,49.2,1,177,92
