Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
James Cook,1621,309,12,9,4,64,68,22,6
Derrick Henry,1595,307,16,17,4,59,79,25.7,4
Jonathan Taylor,1585,323,18,9,4,83,84,26,1
Bijan Robinson,1478,287,7,8,2,93,63,22,3
De'Von Achane,1350,238,8,13,4,59,56,23.5,1
Kyren Williams,1252,259,10,6,0,34,74,28.6,2
Jahmyr Gibbs,1223,243,13,10,6,78,56,23,2
Christian McCaffrey,1202,311,10,3,1,41,70,22.5,1
Javonte Williams,1201,252,11,6,1,66,67,26.6,1
Saquon Barkley,1140,280,7,4,3,65,48,17.1,0
Travis Etienne,1107,260,7,7,3,71,48,18.5,0
D'Andre Swift,1087,223,9,5,0,25,62,27.8,2
Tony Pollard,1082,242,5,6,1,65,48,19.8,3
Rico Dowdle,1076,236,6,5,2,53,51,21.6,1
Breece Hall,1065,243,4,8,1,59,57,23.5,2
Kenneth Walker III,1027,221,5,10,1,55,46,20.8,0
Chase Brown,1019,232,6,6,0,37,52,22.4,1
Ashton Jeanty,975,266,5,3,2,64,44,16.5,1
Jaylen Warren,958,211,6,6,2,45,52,24.6,1
Josh Jacobs,929,234,13,3,1,40,55,23.5,3
TreVeyon Henderson,911,180,9,6,4,69,45,25,1
Quinshon Judkins,827,230,7,4,1,46,50,21.7,0
Jacory Croskey-Merritt,805,175,8,3,2,72,41,23.4,3
Kyle Monangai,783,169,5,3,0,39,40,23.7,0
J.K. Dobbins,772,153,4,5,1,41,37,24.2,0
Jordan Mason,758,159,6,4,0,24,45,28.3,2
Blake Corum,746,145,6,5,1,48,44,30.3,0
Tyrone Tracy Jr.,740,176,2,3,0,31,39,22.2,0
Zach Charbonnet,730,184,12,5,0,30,48,26.1,0
David Montgomery,716,158,8,3,1,72,41,26,2
Woody Marks,703,196,2,2,0,23,39,19.9,1
Kimani Vidal,643,155,3,4,1,59,32,20.6,1
Kareem Hunt,611,163,8,1,0,33,55,33.7,2
Rhamondre Stevenson,603,130,7,7,1,56,29,22.3,2
Bucky Irving,588,173,1,1,0,32,27,15.6,1
Josh Allen,579,112,14,5,2,40,46,41.1,6
Rachaad White,572,132,4,2,0,39,37,28,0
Aaron Jones,548,132,2,1,0,31,28,21.2,0
Omarion Hampton,545,124,4,3,1,54,31,25,0
RJ Harvey,540,146,7,3,2,50,28,19.2,1
Kenny Gainwell,537,114,5,2,1,55,34,29.8,1
Tyler Allgeier,514,143,8,1,0,21,36,25.2,0
Chuba Hubbard,511,134,1,0,0,14,31,23.1,1
Nick Chubb,506,122,3,3,0,30,20,16.4,0
Chris Rodriguez Jr.,500,112,6,2,1,48,32,28.6,0
Justin Herbert,498,83,2,5,1,41,34,41,4
Emanuel Wilson,496,125,3,0,0,15,32,25.6,0
Jaxson Dart,487,86,9,4,0,29,38,44.2,3
Alvin Kamara,471,131,1,0,0,18,21,16,1
Isiah Pacheco,462,118,1,0,0,16,27,22.9,0
Drake Maye,450,103,4,2,0,28,38,36.9,3
Devin Singletary,437,119,5,2,0,29,27,22.7,0
Patrick Mahomes,422,64,5,1,0,22,27,42.2,0
Jalen Hurts,421,105,8,2,0,29,40,38.1,4
Cam Skattebo,410,101,5,1,0,24,27,26.7,1
Brian Robinson,400,92,2,0,0,19,20,21.7,0
Caleb Williams,388,77,3,2,0,29,28,36.4,7
Justin Fields,383,71,4,2,1,43,26,36.6,2
Baker Mayfield,382,55,1,5,0,33,27,49.1,1
Samaje Perine,382,84,3,2,0,32,32,38.1,3
Trevor Lawrence,359,82,9,2,0,21,40,48.8,2
Tank Bigsby,356,63,2,2,0,29,18,28.6,0
Bo Nix,356,83,5,3,0,25,25,30.1,2
Lamar Jackson,349,67,2,0,0,19,24,35.8,1
Keaton Mitchell,341,59,1,4,1,55,16,27.1,1
Michael Carter,333,92,1,2,0,22,19,20.6,0
Sean Tucker,320,86,7,1,1,43,22,25.6,1
Emari Demercado,312,44,0,2,2,71,9,20.4,1
Bhayshul Tuten,307,83,5,0,0,15,23,27.7,1
Marcus Mariota,297,50,1,4,1,44,12,24,3
Jaylen Wright,288,70,2,1,0,32,17,24.3,2
Tyjae Spears,283,72,2,2,1,41,16,22.2,0
Jayden Daniels,278,58,2,0,0,18,14,24.1,1
Ray Davis,275,58,0,1,0,23,15,25.9,0
Bam Knight,269,82,4,0,0,17,21,25.6,1
