norm_name,real2025_total_pts
christian mccaffrey,416.6
josh allen,378.62
bijan robinson,374.8
jahmyr gibbs,368.9
matthew stafford,364.28
drake maye,360.76
puka nacua,360.5
jaxon smithnjigba,358.3
trevor lawrence,354.18
amonra st brown,323.1
devon achane,322.8
trey mcbride,315.9
caleb williams,315.48
jamarr chase,314.2
jalen hurts,313.06
bo nix,311.84
jared goff,310.56
justin herbert,301.88
patrick mahomes,292.68
dak prescott,292.08
george pickens,289.9
baker mayfield,284.92
chase brown,280.6
chris olave,270.3
jonathan taylor,266.5
derrick henry,255.5
jaxson dart,248.58
sam darnold,247.92
zay flowers,237.1
james cook,234.1
lamar jackson,225.86
kenny gainwell,223.3
davante adams,222.9
aaron rodgers,221.88
jordan love,221.24
michael wilson,220.6
aj brown,220.3
jameson williams,218.7
nico collins,218.7
jacoby brissett,218.64
courtland sutton,217.7
wandale robinson,217.4
tetairoa mcmillan,213.4
kyle pitts,210.8
stefon diggs,210.3
tee higgins,209.6
drake london,201.9
devonta smith,201.8
bryce young,201.44
justin jefferson,200.8
ceedee lamb,200.7
michael pittman,200.4
emeka egbuka,192.8
daniel jones,192.04
travis kelce,191.1
jaylen waddle,191.0
jake ferguson,190.0
cj stroud,189.64
javonte williams,186.1
kyren williams,185.2
dallas goedert,185.1
juwan johnson,183.9
keenan allen,182.7
tyler warren,181.7
harold fannin,181.1
ladd mcconkey,180.9
geno smith,180.0
dk metcalf,180.0
cam ward,179.76
hunter henry,178.8
dalton schultz,177.7
jakobi meyers,176.5
deebo samuel,174.7
brock bowers,174.0
troy franklin,171.9
tua tagovailoa,171.4
josh jacobs,170.9
khalil shakir,167.9
dandre swift,162.7
brock purdy,156.68
saquon barkley,156.0
travis etienne,152.7
joe flacco,149.16
treveyon henderson,145.1
zach charbonnet,145.0
rico dowdle,143.6
rashid shaheed,139.7
justin fields,139.66
tony pollard,138.2
marcus mariota,136.5
joe burrow,135.36
kenneth walker,132.7
mac jones,132.04
jaylen warren,131.8
breece hall,130.5
tyler shough,129.36
jacory croskeymerritt,128.5
ashton jeanty,127.5
quinshon judkins,124.7
cade otton,122.2
david montgomery,119.6
jayden daniels,119.28
michael penix,112.28
jordan mason,111.8
blake corum,110.6
kareem hunt,109.1
kyle monangai,108.3
kirk cousins,103.84
rhamondre stevenson,102.3
jk dobbins,101.2
tyler allgeier,99.4
jj mccarthy,97.28
rj harvey,96.0
spencer rattler,90.44
tyrone tracy,86.0
chris rodriguez,86.0
kimani vidal,82.3
woody marks,82.3
rachaad white,81.2
omarion hampton,78.5
sean tucker,74.0
shedeur sanders,74.0
devin singletary,73.7
cam skattebo,71.0
nick chubb,68.6
carson wentz,67.64
emanuel wilson,67.6
aaron jones,66.8
bucky irving,64.8
dillon gabriel,63.48
bhayshul tuten,60.7
kyler murray,59.48
chuba hubbard,57.1
samaje perine,56.2
davis mills,55.6
alvin kamara,53.1
isiah pacheco,52.2
brian robinson,52.0
bam knight,50.9
tank bigsby,47.6
jake browning,46.84
tyrod taylor,46.16
russell wilson,42.24
jaylen wright,40.8
tyjae spears,40.3
keaton mitchell,40.1
michael carter,39.3
philip rivers,34.76
quinn ewers,33.88
emari demercado,31.2
brady cook,30.56
malik willis,28.88
jameis winston,28.68
ray davis,27.5
tyler huntley,25.04
