player_id,player_name,red_zone_touches,goal_line_touches,total_touches,red_zone_share,goal_line_share
00-0034844,S.Barkley,90.0,27.0,497.0,0.18108651911468812,0.05432595573440644
00-0037840,K.Williams,85.0,24.0,396.0,0.21464646464646464,0.06060606060606061
00-0033897,J.Mixon,74.0,18.0,347.0,0.2132564841498559,0.05187319884726225
00-0039139,J.Gibbs,74.0,19.0,338.0,0.21893491124260356,0.05621301775147929
00-0037248,J.Cook,69.0,20.0,304.0,0.22697368421052633,0.06578947368421052
00-0038542,B.Robinson,68.0,18.0,377.0,0.18037135278514588,0.04774535809018567
00-0035700,J.Jacobs,67.0,26.0,367.0,0.18256130790190736,0.07084468664850137
00-0032764,D.Henry,67.0,23.0,391.0,0.17135549872122763,0.058823529411764705
00-0036223,J.Taylor,63.0,20.0,336.0,0.1875,0.05952380952380952
00-0033293,A.Jones,62.0,16.0,336.0,0.18452380952380953,0.047619047619047616
00-0038597,C.Brown,60.0,17.0,295.0,0.2033898305084746,0.0576271186440678
00-0036389,J.Hurts,60.0,26.0,187.0,0.32085561497326204,0.13903743315508021
00-0033553,J.Conner,59.0,16.0,294.0,0.20068027210884354,0.05442176870748299
00-0036555,C.Hubbard,57.0,22.0,305.0,0.18688524590163935,0.07213114754098361
00-0033923,K.Hunt,57.0,20.0,263.0,0.21673003802281368,0.07604562737642585
00-0037746,B.Robinson,55.0,20.0,253.0,0.21739130434782608,0.07905138339920949
00-0035685,D.Montgomery,55.0,19.0,231.0,0.23809523809523808,0.08225108225108226
00-0036893,N.Harris,55.0,12.0,320.0,0.171875,0.0375
00-0036875,R.Stevenson,54.0,15.0,250.0,0.216,0.06
00-0039040,D.Achane,52.0,18.0,290.0,0.1793103448275862,0.06206896551724138
00-0039361,B.Irving,52.0,16.0,279.0,0.1863799283154122,0.05734767025089606
00-0039910,J.Daniels,51.0,13.0,184.0,0.27717391304347827,0.07065217391304347
00-0034857,J.Allen,41.0,15.0,131.0,0.31297709923664124,0.11450381679389313
00-0033906,A.Kamara,41.0,11.0,317.0,0.12933753943217666,0.03470031545741325
00-0035261,T.Pollard,37.0,6.0,318.0,0.11635220125786164,0.018867924528301886
00-0036158,J.Dobbins,37.0,9.0,243.0,0.1522633744855967,0.037037037037037035
00-0037525,J.Mason,37.0,9.0,167.0,0.2215568862275449,0.05389221556886228
00-0036900,J.Chase,36.0,13.0,178.0,0.20224719101123595,0.07303370786516854
00-0038555,T.Bigsby,35.0,11.0,180.0,0.19444444444444445,0.06111111111111111
00-0038120,B.Hall,35.0,12.0,288.0,0.12152777777777778,0.041666666666666664
00-0036963,A.St. Brown,33.0,8.0,153.0,0.21568627450980393,0.05228758169934641
00-0038134,K.Walker,33.0,12.0,206.0,0.16019417475728157,0.05825242718446602
00-0036139,R.Dowdle,33.0,8.0,285.0,0.11578947368421053,0.028070175438596492
00-0039894,X.Worthy,33.0,4.0,143.0,0.23076923076923078,0.027972027972027972
00-0037256,R.White,32.0,10.0,204.0,0.1568627450980392,0.049019607843137254
00-0036997,J.Williams,32.0,10.0,218.0,0.14678899082568808,0.045871559633027525
00-0036275,D.Swift,32.0,11.0,306.0,0.10457516339869281,0.03594771241830065
00-0030506,T.Kelce,31.0,7.0,154.0,0.2012987012987013,0.045454545454545456
00-0033699,A.Ekeler,29.0,6.0,156.0,0.1858974358974359,0.038461538461538464
00-0036919,K.Gainwell,28.0,3.0,113.0,0.24778761061946902,0.02654867256637168
00-0039384,T.Tracy,28.0,7.0,246.0,0.11382113821138211,0.028455284552845527
00-0031381,D.Adams,27.0,11.0,142.0,0.19014084507042253,0.07746478873239436
00-0036973,T.Etienne,27.0,5.0,202.0,0.13366336633663367,0.024752475247524754
00-0030061,Z.Ertz,27.0,13.0,118.0,0.2288135593220339,0.11016949152542373
00-0037263,T.Allgeier,27.0,7.0,151.0,0.17880794701986755,0.046357615894039736
00-0036322,J.Jefferson,27.0,5.0,164.0,0.16463414634146342,0.03048780487804878
