team,sos_ros_avg_pa,sos_playoff_avg_pa,sos_ros_rank,sos_playoff_rank
ARI,22.360312499999996,24.235333333333333,11,27
ATL,23.363937499999995,23.0295,23,16
BAL,24.146999999999995,23.843,31,23
BUF,21.601999999999997,20.490333333333332,2,5
CAR,21.982647058823527,22.52933333333333,6,13
CHI,22.014687499999997,20.548999999999996,7,6
CIN,23.431333333333335,25.921666666666667,24,30
CLE,24.029375,23.588333333333335,30,20
DAL,22.470642857142856,23.558999999999997,12,19
DEN,22.5183125,23.901666666666667,14,24
DET,22.930764705882353,21.902,17,8
GB,22.861588235294114,21.686333333333334,15,7
HOU,23.294142857142855,18.853,21,2
IND,22.89485714285715,26.058666666666667,16,31
JAX,23.452187499999997,24.7055,25,29
KC,22.484352941176468,22.627333333333336,13,15
LV,21.76811764705882,22.549000000000003,3,14
LAR,22.113874999999997,23.941000000000003,9,25
LAC,22.08288235294117,22.078333333333333,8,10
MIA,22.245588235294115,19.745,10,3
MIN,23.0000625,21.941499999999998,18,9
NE,21.106624999999994,20.411666666666665,1,4
NO,23.775,23.274333333333335,28,18
NYG,23.298357142857146,24.411666666666665,22,28
NYJ,21.889176470588232,22.117333333333335,5,11
PHI,24.558857142857143,23.058666666666664,32,17
PIT,23.860187500000002,26.56866666666667,29,32
SF,21.8491875,18.235333333333333,4,1
SEA,23.091875,23.980666666666668,19,26
TB,23.612411764705882,23.666666666666668,27,21
TEN,23.281499999999998,23.686333333333334,20,22
WSH,23.488937500000002,22.2055,26,12
